// list of phrases available in the integra-7
"No Assign"
"Piano 01"
"Piano 02"
"Piano 03"
"Piano 04"
"Piano 05"
"Piano 06"
"Piano 07"
"Piano 08"
"Piano 09"
"Piano 10"
"E.Piano 01"
"E.Piano 02"
"E.Piano 03"
"E.Piano 04"
"E.Piano 05"
"E.Piano 06"
"E.Organ 01"
"E.Organ 02"
"E.Organ 03"
"E.Organ 04"
"E.Organ 05"
"E.Organ 06"
"E.Organ 07"
"E.Organ 08"
"E.Organ 09"
"E.Organ 10"
"Pipe Organ 01"
"Pipe Organ 02"
"Reed Organ"
"Harpsichord 01"
"Harpsichord 02"
"Clav 01"
"Clav 02"
"Celesta"
"Accordion 01"
"Accordion 02"
"Harmonica"
"Bell 01"
"Music Box"
"Vibraphone 01"
"Vibraphone 02"
"Vibraphone 03"
"Vibraphone 04"
"Marimba 01"
"Marimba 02"
"Glockenspiel"
"Xylophone 01"
"Xylophone 02"
"Xylophone 03"
"YangQin"
"Santur 01"
"Santur 02"
"SteelDrums"
"Ac.Guitar 01"
"Ac.Guitar 02"
"Ac.Guitar 03"
"Ac.Guitar 04"
"Ac.Guitar 05"
"Mandolin 01"
"Mandolin 02"
"Ukelele"
"Jazz Guitar 01"
"Jazz Guitar 02"
"Jazz Guitar 03"
"E.Guitar"
"Muted Guitar"
"PedalSteel"
"Dist.Guitar 01"
"Ac.Bass 01"
"Ac.Bass 02"
"E.Bass 01"
"E.Bass 02"
"Fretless Bass 01"
"Fretless Bass 02"
"Fretless Bass 03"
"Slap Bass 01"
"Slap Bass 02"
"Synth Bass 01"
"Synth Bass 02"
"Synth Bass 03"
"Synth Bass 04"
"Synth Bass 05"
"Synth Bass 06"
"Plucked/Stroke"
"Banjo"
"Harp"
"Koto"
"Shamisen"
"Sitar"
"Violin 01"
"Violin 02"
"Fiddle"
"Cello 01"
"Cello 02"
"Contrabass 01"
"Contrabass 02"
"Ensemble Strings 01"
"Ensemble Strings 02"
"Ensemble Strings 03"
"Tremolo Strings"
"Pizzicato Strings 01"
"Pizzicato Strings 02"
"Orchestra 01"
"Orchestra 02"
"Solo Brass"
"Trumpet 01"
"Trumpet 02"
"Mute Trumpet"
"Trombone"
"French Horn"
"Tuba"
"Ensemble Brass 01"
"French Horn Section"
"Wind"
"Oboe"
"Clarinet"
"Bassoon"
"Bagpipe 01"
"Bagpipe 02"
"Shanai"
"Shakuhachi"
"Flute"
"Soprano Sax 01"
"Soprano Sax 02"
"Alto Sax 01"
"Alto Sax 02"
"Tenor Sax 01"
"Baritone Sax"
"Recorder"
"Vox/Choirs 01"
"Vox/Choirs 02"
"Scat 01"
"Scat 02"
"Synth Lead 01"
"Synth Lead 02"
"Synth Lead 03"
"Synth Lead 04"
"Synth Lead 05"
"Synth Lead 06"
"Synth Lead 07"
"Synth Brass 01"
"Synth Brass 02"
"Synth Brass 03"
"Synth Brass 04"
"Synth Pad/Strings 01"
"Synth Pad/Strings 02"
"Synth Pad/Strings 03"
"Synth BellPad 01"
"Synth BellPad 02"
"Synth BellPad 03"
"Synth PolyKey 01"
"Synth PolyKey 02"
"Synth PolyKey 03"
"Synth SeqPop 01"
"Synth SeqPop 02"
"Timpani 01"
"Timpani 02"
"Percussion"
"Sound FX 01"
"Sound FX 02"
"Sound FX 03"
"Vibraphone 05"
"Dist.Guitar 02"
"Dist.Guitar 03"
"E.Bass 03"
"E.Bass 04"
"Synth Bass 07"
"Synth Bass 08"
"Synth Bass 09"
"Synth Bass 10"
"Synth Bass 11"
"Synth Bass 12"
"Santur 03"
"Ensemble Brass 02"
"Tenor Sax 02"
"Tenor Sax 03"
"Pan Pipe"
"Vox/Choirs 03"
"Vox/Choirs 04"
"Vox/Choirs 05"
"Vox/Choirs 06"
"Vox/Choirs 07"
"Synth Lead 08"
"Synth Pad/Strings 04"
"Synth Pad/Strings 05"
"Synth Bell 01"
"Synth Bell 02"
"Synth Bell 03"
"Synth Bell 04"
"Synth Bell 05"
"Synth PolyKey 04"
"Synth PolyKey 05"
"Synth PolyKey 06"
"Synth PolyKey 07"
"Synth PolyKey 08"
"Synth PolyKey 09"
"Synth PolyKey 10"
"Bell 02"
"Bell 03"
"Synth PolyKey 11"
"Synth Pad/Strings 06"
"Synth Pad/Strings 07"
"Synth Pad/Strings 08"
"Sound FX 04"
"Sound FX 05"
"XV/Ac. Piano"
"XV/El. Piano"
"XV/Keyboards"
"XV/Bell"
"XV/Mallet"
"XV/Organ"
"XV/Accordion"
"XV/Harmonica"
"XV/Ac.Guitar"
"XV/El.Guitar"
"XV/Dist.Guitar"
"XV/Bass"
"XV/Synth Bass"
"XV/Strings"
"XV/Orchestra"
"XV/Hit&Stab"
"XV/Wind"
"XV/Flute"
"XV/Ac.Brass"
"XV/Synth Brass"
"XV/Sax"
"XV/Hard Lead"
"XV/Soft Lead"
"XV/Techno Synth"
"XV/Pulsating"
"XV/Synth FX"
"XV/Other Synth"
"XV/Bright Pad"
"XV/Soft Pad"
"XV/Vox"
"XV/Plucked"
"XV/Ethnic"
"XV/Fretted"
"XV/Percussion"
"XV/Sound FX"
"XV/Beat&Groove"
"XV/Drums"
"XV/Combination"
