// pcm drum phrase list
"0: No Assign"
"1: Standard 1"
"2: Standard 2"
"3: Room 1"
"4: Room 2"
"5: Power 1"
"6: Power 2"
"7: Electric 1"
"8: Electric 2"
"9: Analog 1"
"10: Analog 2"
"11: Jazz 1"
"12: Jazz 2"
"13: Brush 1"
"14: Brush 2"
"15: Orchestra 1"
"16: Orchestra 2"
"17: SFX 1"
"18: SFX 2"
